,weight_salary,weight_wealth,weight_sibling,weight_complexion,weight_height,weight_bmi,_pset_hash,_pset_id,_run_seq,_pset_seq,_run_id,_calc_dir,_time_utc,_exec_host,topsis_score,topsis_rank,_pset_runtime
1458,1,1,1,1,1,1,a8ec4e75cf3b48cde0cb5a5daa9506183cfae0c1,092e9480-a7f3-4a3e-a97e-05bcbca3c981,2,1458,25d48a79-b05c-4119-a626-613d44aeaf30,calc,2023-12-19 04:44:51.751178980,krishna-ThinkPad-P14s-Gen-2a,0.7660653450593298,1,0.011757373809814453
1459,1,1,1,1,1,2,9b788d796d69db734ede6aa66a3698db9d658fa5,6922cf39-99e1-4fa3-94df-5fd34a4cc2f0,2,1459,25d48a79-b05c-4119-a626-613d44aeaf30,calc,2023-12-19 04:44:51.762999773,krishna-ThinkPad-P14s-Gen-2a,0.8223987868608467,1,0.0023963451385498047
1460,1,1,1,1,1,3,dc5338042f898657164b45855433f7077c81c06c,4ec19414-caac-4ca7-9e12-af215ca4a73c,2,1460,25d48a79-b05c-4119-a626-613d44aeaf30,calc,2023-12-19 04:44:51.765414000,krishna-ThinkPad-P14s-Gen-2a,0.8561791953218223,1,0.002295255661010742
1461,1,1,1,1,2,1,d4d01b2be4f8d60ccff0dbe864fc86206eda3e91,78affbd3-bd3d-41af-b00d-aacfcf412bea,2,1461,25d48a79-b05c-4119-a626-613d44aeaf30,calc,2023-12-19 04:44:51.767721415,krishna-ThinkPad-P14s-Gen-2a,0.7655028392249431,1,0.0023109912872314453
1462,1,1,1,1,2,2,68a06009f3fe9fb64fe36aaabe626aa1a48520b6,7555562d-6d52-4b33-af05-9b63e3e1d04a,2,1462,25d48a79-b05c-4119-a626-613d44aeaf30,calc,2023-12-19 04:44:51.770044327,krishna-ThinkPad-P14s-Gen-2a,0.8219552765231481,1,0.0022797584533691406
1463,1,1,1,1,2,3,e4489f41fa919e3166b54abc12319edc0c4d7ba8,49253a52-3acf-41fe-997f-02b01fe54caa,2,1463,25d48a79-b05c-4119-a626-613d44aeaf30,calc,2023-12-19 04:44:51.772336483,krishna-ThinkPad-P14s-Gen-2a,0.8558477050290512,1,0.0023009777069091797
1464,1,1,1,1,3,1,8cec0a3861b8b17dd35418ad28b98d502531aab2,ab90a900-7d7a-426e-b1d4-9bbbb2741ce7,2,1464,25d48a79-b05c-4119-a626-613d44aeaf30,calc,2023-12-19 04:44:51.774649382,krishna-ThinkPad-P14s-Gen-2a,0.7645731257947269,1,0.0022940635681152344
1465,1,1,1,1,3,2,d90b0e62c5da06e8b96388d22d173059152132b7,49c2a4c7-30f0-40a5-ab45-c071890f1073,2,1465,25d48a79-b05c-4119-a626-613d44aeaf30,calc,2023-12-19 04:44:51.776955128,krishna-ThinkPad-P14s-Gen-2a,0.8212208634126723,1,0.0022666454315185547
1466,1,1,1,1,3,3,b218c0ccaa085fc87492e94eb8889319700e5b29,01801451-a74e-454b-ac78-f33e5f0c9e85,2,1466,25d48a79-b05c-4119-a626-613d44aeaf30,calc,2023-12-19 04:44:51.779233694,krishna-ThinkPad-P14s-Gen-2a,0.8552980496909626,1,0.0023589134216308594
1467,1,1,1,2,1,1,c02b85d0dde2a916316ffab8593ce13e48957163,6f174350-e019-4079-a837-f998548c8861,2,1467,25d48a79-b05c-4119-a626-613d44aeaf30,calc,2023-12-19 04:44:51.781604290,krishna-ThinkPad-P14s-Gen-2a,0.7254639447687281,1,0.002329111099243164
